feature,importance
Crm Cd_count,0.6404457126527959
dayofweek_std,0.06717523955054952
Premis Cd_nunique,0.04304489549286398
hour_mean,0.030535179026591416
Vict Age_std,0.030020846953994894
LON_mean,0.028517296069001358
Vict Age_mean,0.023293716706593557
month_std,0.02305464017141175
is_weekend_mean,0.02229894996656936
month_mean,0.02150916061279657
LAT_mean,0.019178982353195723
is_night_mean,0.015569741718461424
Weapon Used Cd_nunique,0.013113439405384585
hour_std,0.012393933635942083
dayofweek_mean,0.009848265683847996
